   0   0   1   2     0.85969     7.30863    19.85466
   0   0   2   2     1.71939     3.65431    40.33893
   0   0   3   2     2.57908     2.43621    62.28884
   0   1   0   2     0.51927    12.10008    11.95427
   0   1   1   4     1.00435     6.25599    23.23850
   0   1   2   4     1.79609     3.49826    42.22240
   0   1   3   4     2.63084     2.38828    63.68360
   0   2   0   2     1.03854     6.05004    24.04117
   0   2   1   4     1.34820     4.66044    31.37147
   0   2   2   4     2.00869     3.12799    47.50844
   0   2   3   4     2.78033     2.25987    67.77360
   0   3   0   2     1.55780     4.03336    36.40721
   0   3   1   4     1.77928     3.53131    41.80857
   0   3   2   4     2.32014     2.70811    55.45539
   0   3   3   4     3.01304     2.08533    74.34564
   0   4   0   2     2.07707     3.02502    49.23094
   0   4   1   4     2.24796     2.79507    53.58932
   0   4   2   4     2.69639     2.33022    65.46555
   0   5   0   2     2.59634     2.42002    62.75278
   0   5   1   4     2.73497     2.29735    66.52256
   1   0  -3   2     2.68306     2.34180    65.10180
   1   0  -2   2     1.89372     3.31791    44.63730
   1   0  -1   2     1.20485     5.21491    27.96372
   1   0   0   2     0.89180     7.04553    20.60401
   1   0   1   2     1.27165     4.94098    29.54840
   1   0   2   2     1.97915     3.17469    46.76767
   1   0   3   2     2.77401     2.26502    67.59869
   1   1  -3   4     2.73285     2.29913    66.46429
   1   1  -2   4     1.96362     3.19979    46.37923
   1   1  -1   4     1.31198     4.78907    30.50804
   1   1   0   4     1.03196     6.08859    23.88668
   1   1   1   4     1.37358     4.57430    31.97788
   1   1   2   4     2.04613     3.07076    48.45014
   1   1   3   4     2.82219     2.22635    68.93636
   1   2  -3   4     2.87704     2.18390    70.47244
   1   2  -2   4     2.15980     2.90915    51.33090
   1   2  -1   4     1.59067     3.95003    37.20306
   1   2   0   4     1.36889     4.58999    31.86571
   1   2   1   4     1.64184     3.82691    38.44620
   1   2   2   4     2.23508     2.81117    53.25811
   1   2   3   4     2.96204     2.12124    72.88177
   1   3  -2   4     2.45213     2.56234    58.90973
   1   3  -1   4     1.96937     3.19046    46.52297
   1   3   0   4     1.79501     3.50036    42.19579
   1   3   1   4     2.01093     3.12451    47.56460
   1   3   2   4     2.51869     2.49463    60.67405
   1   4  -2   4     2.81077     2.23540    68.61823
   1   4  -1   4     2.40123     2.61666    57.57084
   1   4   0   4     2.26043     2.77964    53.91062
   1   4   1   4     2.43543     2.57991    58.46958
   1   4   2   4     2.86902     2.19001    70.24676
   1   5  -1   4     2.86228     2.19517    70.05759
   1   5   0   4     2.74523     2.28876    66.80475
   1   5   1   4     2.89103     2.17333    70.86651
   2   0  -2   2     2.40970     2.60746    57.79306
   2   0  -1   2     1.93774     3.24253    45.73308
   2   0   0   2     1.78359     3.52277    41.91476
   2   0   1   2     2.02131     3.10847    47.82545
   2   0   2   2     2.54330     2.47049    61.33043
   2   1  -2   4     2.46501     2.54895    59.25007
   2   1  -1   4     2.00611     3.13202    47.44363
   2   1   0   4     1.85765     3.38234    43.74264
   2   1   1   4     2.08695     3.01071    49.48066
   2   1   2   4     2.59577     2.42055    62.73731
   2   2  -2   4     2.62397     2.39454    63.49783
   2   2  -1   4     2.19850     2.85794    52.31970
   2   2   0   4     2.06392     3.04430    48.89869
   2   2   1   4     2.27250     2.76487    54.22213
   2   2   2   4     2.74717     2.28715    66.85804
   2   3  -2   4     2.86939     2.18973    70.25724
   2   3  -1   4     2.48628     2.52714    59.81318
   2   3   0   4     2.36811     2.65324    56.70440
   2   3   1   4     2.55195     2.46211    61.56180
   2   3   2   4     2.98247     2.10671    73.46645
   2   4  -1   4     2.84061     2.21191    69.45067
   2   4   0   4     2.73778     2.29499    66.59979
   2   4   1   4     2.89827     2.16791    71.07058
   3   0  -1   2     2.76562     2.27189    67.36687
   3   0   0   2     2.67539     2.34851    64.89275
   3   0   1   2     2.85393     2.20159    69.82350
   3   1  -1   4     2.81394     2.23287    68.70670
   3   1   0   4     2.72532     2.30549    66.25748
   3   1   1   4     2.90079     2.16603    71.14184
   3   2  -1   4     2.95418     2.12688    72.65756
   3   2   0   4     2.86989     2.18935    70.27130
   3   2   1   4     3.03702     2.06887    75.03873
