[Header]
TITLE,20201208_CrCl2pym-Ag_HC_2to60K.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.4,MASS:Sample Mass (mg)
INFO,0.2,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (muJ/K),Samp HC Err (muJ/K),Addenda HC (muJ/K),Addenda HC Err (muJ/K),Total HC (muJ/K),Total HC Err (muJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (muJ/K/K),Addenda Offset HC (muJ/K)
3816570731.33079,,1857,2.80022,2.80022,-0.1896334,9.8999999E-6,2.8198734,0.067058108,5.3461711,0.01437,0.63648332,0.001188,5.9826544,0.01437,8.8004392,2.5098068,0.0114144,95.065601,,,1,,,,2.4829826E-6,5.1412097,7.9516861,1.8958905,0
3816570769.54478,,1857,2.80008,2.80008,-0.15407714,9.8999999E-6,2.8195859,0.06644116,5.3482126,0.01446,0.63632441,0.001188,5.984537,0.01446,39.997106,2.5135827,0.011375817,95.087897,,,1,,,,2.4795726E-6,5.0196137,7.9500648,1.8968078,0
3816570807.59858,,1857,2.79957,2.79957,-0.1896334,9.8999999E-6,2.8196697,0.066228688,5.345948,0.01437,0.636322,0.001188,5.98227,0.01437,18.820598,2.4905495,0.01131619,95.06952,,,1,,,,2.5019412E-6,5.0271654,7.9505374,1.8959483,0
3816570937.56201,,1857,3.00014,3.00014,-0.17778131,9.8999999E-6,3.0197356,0.070683151,5.6253155,0.01433,0.73972632,0.001387,6.3650418,0.01433,35.024989,2.4381551,0.012030005,95.053024,,,1,,,,2.7172673E-6,4.9810989,9.1188031,1.8628503,0
3816570975.63869,,1857,2.99979,2.99979,-0.10666879,9.8999999E-6,3.0194785,0.070004432,5.6335238,0.01474,0.73954992,0.001386,6.3730737,0.01474,13.865582,2.4400723,0.012055916,95.039227,,,1,,,,2.7189146E-6,4.8763102,9.1172506,1.8657274,0
3816571013.44703,,1857,3.0001,3.0001,-0.11852087,9.8999999E-6,3.0193589,0.069938321,5.6325944,0.01432,0.73946683,0.001386,6.3720612,0.01432,32.906989,2.4319021,0.012051969,95.023919,,,1,,,,2.727965E-6,4.8801446,9.1165281,1.8654935,0
3816571143.11391,,1857,3.19979,3.19979,-0.11852087,9.8999999E-6,3.2195889,0.074063871,5.9730736,0.01567,0.85728795,0.001618,6.8303615,0.01567,43.852543,2.41075,0.012987035,94.95067,,,1,,,,2.949165E-6,4.8638042,10.365753,1.8552286,0
3816571181.03093,,1857,3.19975,3.19975,-0.10666879,9.8999999E-6,3.2196084,0.074199585,5.9469003,0.01483,0.85729471,0.001618,6.804195,0.01483,18.278226,2.4054932,0.012916485,94.985123,,,1,,,,2.9433269E-6,4.8215,10.365879,1.847088,0
3816571218.74188,,1857,3.19996,3.19996,-0.16592923,9.8999999E-6,3.2194929,0.073812302,5.972166,0.01495,0.85719412,0.001618,6.8293601,0.01495,27.19616,2.4040251,0.01288938,94.975526,,,1,,,,2.9563747E-6,4.8109864,10.365135,1.8550021,0
3816571349.45798,,1857,3.40045,3.40045,-0.15407714,9.8999999E-6,3.4198812,0.078005466,6.3365502,0.01599,0.99244362,0.001879,7.3289938,0.01599,45.757794,2.4106451,0.013930093,94.930599,,,1,,,,3.1623572E-6,4.8080501,11.695587,1.8528568,0
3816571387.71527,,1857,3.40046,3.40046,-0.15407714,9.8999999E-6,3.4199769,0.078256988,6.3180699,0.01579,0.99247237,0.001879,7.3105422,0.01579,17.713442,2.3863748,0.013942881,94.884334,,,1,,,,3.1875695E-6,4.8212901,11.696242,1.8474013,0
3816571425.87352,,1857,3.40002,3.40002,-0.13037296,9.8999999E-6,3.4196649,0.077937665,6.3321805,0.01681,0.99229095,0.001879,7.3244714,0.01681,7.2449779,2.4078176,0.014265231,94.800844,,,1,,,,3.1674172E-6,4.7727496,11.694108,1.8516962,0
3816571555.37745,,1857,3.59967,3.59967,-0.17778131,9.8999999E-6,3.6218077,0.081729534,6.7430959,0.0175,1.1461086,0.002107,7.8892045,0.0175,4.229913,2.4024606,0.015265249,94.748252,,,1,,,,3.4176595E-6,4.8156352,13.117491,1.861804,0
3816571593.27848,,1857,3.59968,3.59968,-0.1896334,9.8999999E-6,3.6218995,0.082062782,6.7239948,0.01651,1.1461801,0.002107,7.8701749,0.01651,15.86513,2.3949867,0.01508814,94.805586,,,1,,,,3.4183933E-6,4.8049213,13.118156,1.856483,0
3816571630.96235,,1857,3.60012,3.60012,-0.14222506,9.8999999E-6,3.6218268,0.081505791,6.7366163,0.01596,1.146006,0.002107,7.8826224,0.01596,23.076989,2.373516,0.01488354,94.822465,,,1,,,,3.4543876E-6,4.7899734,13.11763,1.8600051,0
3816571757.79219,,1857,3.79955,3.79955,-0.17778131,9.8999999E-6,3.8217098,0.084958667,7.1424852,0.01691,1.3169244,0.002456,8.4594096,0.01691,4.9017938,2.3971576,0.016039999,94.786115,,,1,,,,3.6682845E-6,4.747032,14.605466,1.868924,0
3816571795.83485,,1857,3.80027,3.80027,-0.21333757,9.8999999E-6,3.8217457,0.085514414,7.1720397,0.01808,1.3170568,0.002456,8.4890965,0.01808,7.2921042,2.4072676,0.016316822,94.700994,,,1,,,,3.6682893E-6,4.7943151,14.60574,1.8766397,0
3816571833.61995,,1857,3.80025,3.80025,-0.22518967,9.8999999E-6,3.8219376,0.085650353,7.1566093,0.01735,1.3171863,0.002457,8.4737956,0.01735,5.1050659,2.3924675,0.01620571,94.71334,,,1,,,,3.6838786E-6,4.8145353,14.607207,1.8725081,0
3816571962.56281,,1857,3.99967,3.99967,-0.17778131,9.8999999E-6,4.0219508,0.088209279,7.631753,0.01674,1.5034165,0.002741,9.1351695,0.01674,3.9359218,2.3914404,0.016952016,94.726319,,,1,,,,3.9694739E-6,4.7849349,16.176088,1.8975252,0
3816572000.42496,,1857,4.00016,4.00016,-0.21333757,9.8999999E-6,4.0217625,0.089084278,7.6274802,0.01856,1.5034961,0.002741,9.1309763,0.01856,5.8288876,2.4298054,0.017582748,94.616008,,,1,,,,3.9082512E-6,4.7828808,16.174574,1.8965516,0
3816572038.31531,,1857,3.99999,3.99999,-0.24889384,9.8999999E-6,4.0222197,0.089798951,7.6427264,0.01892,1.5040204,0.002742,9.1467468,0.01892,39.783904,2.4327745,0.017496588,94.643473,,,1,,,,3.9094864E-6,4.8596107,16.178251,1.9001266,0
3816572167.48443,,1857,4.20028,4.20028,-0.10666879,9.8999999E-6,4.2222563,0.09231353,8.1548125,0.02072,1.7128629,0.003197,9.8676754,0.02072,12.276119,2.4356643,0.018950378,94.454542,,,1,,,,4.2151004E-6,4.865549,17.827448,1.9313874,0
3816572205.38449,,1857,4.1994,4.1994,-0.11852087,9.8999999E-6,4.2227645,0.092768352,8.1478283,0.0207,1.7134491,0.0032,9.8612774,0.0207,1.7653154,2.4304038,0.01865724,94.534872,,,1,,,,4.218886E-6,4.8713285,17.83174,1.929501,0
3816572243.15391,,1857,4.20036,4.20036,-0.17778131,9.8999999E-6,4.2222726,0.092785464,8.1604642,0.02011,1.7129967,0.003198,9.8734608,0.02011,6.572128,2.4493039,0.018924243,94.49162,,,1,,,,4.1929569E-6,4.8608075,17.827586,1.9327185,0
3816572370.99419,,1857,4.40016,4.40016,-0.1896334,9.8999999E-6,4.4224661,0.095837129,8.7347562,0.02121,1.9551328,0.004189,10.689889,0.02121,18.530237,2.4968537,0.020483989,94.395412,,,1,,,,4.4525222E-6,4.8986079,19.558207,1.9750872,0
3816572408.69438,,1857,4.4002,4.4002,-0.11852087,9.8999999E-6,4.4231829,0.096870663,8.7415108,0.02072,1.956079,0.004193,10.69759,0.02072,63.199433,2.4788818,0.02026826,94.413575,,,1,,,,4.4874546E-6,4.9937075,19.564547,1.9762942,0
3816572446.43989,,1857,4.39971,4.39971,-0.13037296,9.8999999E-6,4.4228247,0.096523186,8.7745662,0.02234,1.9557203,0.004191,10.730287,0.02234,51.655916,2.501489,0.020643706,94.345133,,,1,,,,4.4629758E-6,4.9577637,19.561378,1.9839281,0
3816572575.05579,,1857,4.60074,4.60074,-0.16592923,9.8999999E-6,4.6228869,0.099447169,9.3478151,0.02342,2.2165687,0.004918,11.564384,0.02342,60.646296,2.5313308,0.022256048,94.211658,,,1,,,,4.7535924E-6,5.0029781,21.371083,2.0220731,0
3816572612.9014,,1857,4.59934,4.59934,-0.17778131,9.8999999E-6,4.6235347,0.10052096,9.3518038,0.02309,2.217594,0.00492,11.569398,0.02309,61.810122,2.5330214,0.02221328,94.227109,,,1,,,,4.7519481E-6,5.0626617,21.377073,2.0226525,0
3816572650.9461,,1857,4.60023,4.60023,-0.16592923,9.8999999E-6,4.6236598,0.10077583,9.3532132,0.02377,2.2178516,0.00492,11.571065,0.02377,25.126813,2.5445121,0.022103562,94.282638,,,1,,,,4.7292822E-6,5.0660429,21.37823,2.0229026,0
3816572779.08178,,1857,4.80043,4.80043,-0.14222506,9.8999999E-6,4.8233339,0.10335303,10.032674,0.02669,2.4894179,0.005236,12.522092,0.02669,9.1398338,2.6155151,0.024226691,94.073392,,,1,,,,4.9831197E-6,5.0890242,23.26455,2.080029,0
3816572817.64953,,1857,4.80011,4.80011,-0.15407714,9.8999999E-6,4.8243841,0.10538495,10.03422,0.0262,2.4911403,0.005238,12.52536,0.0262,9.7794081,2.6088715,0.023985158,94.120527,,,1,,,,4.9954003E-6,5.2310301,23.274682,2.0798966,0
3816572856.41916,,1857,4.8005,4.8005,-0.23704174,9.8999999E-6,4.8240534,0.10544354,10.040727,0.0272,2.4908036,0.005238,12.531531,0.0272,9.1955157,2.6263189,0.024191728,94.10606,,,1,,,,4.9652281E-6,5.217743,23.271492,2.081388,0
3816572985.94902,,1857,5.00029,5.00029,-0.1896334,9.8999999E-6,5.0240975,0.10780081,10.741728,0.02718,2.7745886,0.005598,13.516316,0.02718,30.762493,2.6709513,0.025518705,94.038198,,,1,,,,5.2651492E-6,5.2526378,25.241555,2.1380413,0
3816573024.43005,,1857,5,5,-0.13037296,9.8999999E-6,5.0247235,0.10938434,10.733359,0.02868,2.7757481,0.0056,13.509107,0.02868,29.447691,2.6679772,0.0255211,94.03537,,,1,,,,5.268212E-6,5.3419025,25.247846,2.1361093,0
3816573062.95607,,1857,5.00003,5.00003,-0.11852087,9.8999999E-6,5.0248701,0.10920272,10.7284,0.02763,2.775857,0.0056,13.504257,0.02763,79.012307,2.6575117,0.025376188,94.047986,,,1,,,,5.2865515E-6,5.3359544,25.24932,2.1350601,0
3816573190.97528,,1857,5.19982,5.19982,-0.14222506,9.8999999E-6,5.224163,0.11092455,11.51609,0.03,3.0749159,0.006163,14.591006,0.03,34.559776,2.7362874,0.026999393,93.965942,,,1,,,,5.5479278E-6,5.3150233,27.291879,2.2043894,0
3816573229.55677,,1857,5.19966,5.19966,-0.16592923,9.8999999E-6,5.2255516,0.11341253,11.511772,0.02962,3.077537,0.006168,14.589309,0.02962,20.913597,2.7376578,0.027087116,93.953662,,,1,,,,5.5448671E-6,5.4725748,27.30639,2.2029774,0
3816573268.28589,,1857,5.19996,5.19996,-0.15407714,9.8999999E-6,5.2256185,0.11344319,11.497317,0.03116,3.0775792,0.006168,14.574896,0.03116,11.113427,2.728804,0.026981319,93.96259,,,1,,,,5.5569049E-6,5.4753157,27.307088,2.2001829,0
3816573395.45842,,1857,5.40007,5.40007,-0.14222506,9.8999999E-6,5.4250719,0.11494557,12.330397,0.03378,3.3961588,0.006978,15.726555,0.03378,5.653042,2.8096169,0.028950387,93.813314,,,1,,,,5.8267795E-6,5.457608,29.431405,2.2728541,0
